"","x","y","z","face","place","object","cluster","category"
"V819",41.015,54.175,-1.4611,-7.4714210315607,-13.7980051008201,21.2694261323808,3,"object"
"V826",-43.356,59.984,-4.1944,4.9340095128985,18.1885779696402,-23.1225874825387,1,"face"
"V8291",26.785,58.667,-1.413,6.2446187125968,4.3996617098964,-10.6442804224934,1,"face"
"V835",-47.065,64.278,-3.7298,6.4561101975829,10.1689392550891,-16.6250494526721,1,"face"
"V8361",-43.558,64.211,-3.5911,-11.4873259446344,-14.5047879121833,25.9921138568177,3,"object"
"V839",26.583,62.895,-0.80846,8.0533846893693,7.1920441685922,-15.2454288579616,1,"face"
"V855",26.382,67.123,-0.20515,4.1341837311373,13.362800316991,-17.4969840481283,1,"face"
"V856",29.889,67.057,-0.065223,16.0897498373575,-29.2676385963638,13.1778887590063,3,"object"
"V862",-1.8761,71.877,-0.71363,1.6062540563515,6.0456138991563,-7.6518679555078,2,"place"
"V8651",26.18,71.351,0.39945,-5.5718506210201,-6.58557286456,12.1574234855802,3,"object"
"V869",-51.177,77.027,-2.0563,-5.7700934965423,13.8897700384117,-8.1196765418693,2,"place"
"V907",22.069,84.1,2.073,3.9240675693357,-0.0617915759966301,-3.862275993339,1,"face"
"V998",59.506,31.841,-0.10303,4.8929145216639,3.3438662645386,-8.2367807862026,1,"face"
"V1021",2.5868,49.806,0.087918,17.3940560183582,-12.7943426990033,-4.5997133193549,1,"face"
"V1038",-22.366,58.723,0.32268,-5.7634895179497,6.2908147206923,-0.527325202742543,2,"place"
"V1060",-5.2334,66.849,2.227,-6.8464825018487,14.1550273521229,-7.3085448502741,2,"place"
"V1075",-51.228,76.161,1.6267,9.3079647627223,3.3941313859822,-12.7020961487047,1,"face"
"V1076",-47.721,76.096,1.7657,-1.6255294536031,6.2610674611347,-4.6355380075316,1,"face"
"V1099",46.768,78.546,6.1258,-9.9241021863609,19.6942628225295,-9.7701606361685,2,"place"
"V1133",-11.373,-26.834,-7.8,8.1685591099027,-4.2416593849743,-3.9268997249284,1,"face"
"V1228",-11.292,44.976,2.611,-7.9944374323805,5.2829201842027,2.7115172481777,2,"place"
"V1229",-7.7846,44.91,2.75,-7.4626970167927,5.1341116328841,2.3285853839086,2,"place"
"V12301",-0.77045,44.779,3.0276,-11.0236540711415,19.1201857169757,-8.0965316458342,2,"place"
"V1232",55.343,43.725,5.2534,12.6580018172888,6.8785867787559,-19.5365885960447,1,"face"
"V1263",-22.82,66.313,5.2148,0.51387220041031,1.6109630610873,-2.1248352614976,1,"face"
"V1282",-51.28,75.295,5.3097,-10.2499423798009,-1.3017548536019,11.5516972334028,2,"place"
"V1283",-47.773,75.23,5.4496,10.7857359792917,-3.0735300384165,-7.7122059408751,1,"face"
"V1379",46.986,-3.4512,1.873,6.6014332768094,7.4144938512055,-14.015927128015,1,"face"
"V1422",-56.734,40.738,3.8812,11.2672112080038,-17.4309279918803,6.1637167838765,3,"object"
"V1423",-53.227,40.672,4.0211,11.3156535198745,-3.1229880473,-8.1926654725744,1,"face"
"V1425",-7.6348,39.816,5.8284,19.6323500834427,-17.9918072625658,-1.6405428208768,1,"face"
"V1426",-0.62064,39.685,6.1073,-6.4774948144867,19.1221895278778,-12.6446947133911,2,"place"
"V1431",-63.949,45.097,4.2078,11.9260307399696,-5.3516879553864,-6.5743427845831,1,"face"
"V1432",-60.442,45.032,4.3468,14.3061594592087,-7.4660211159654,-6.8401383432432,1,"face"
"V1433",-56.935,44.966,4.4858,-5.1920404082633,19.644830585578,-14.4527901773147,2,"place"
"V1434",48.277,42.991,8.6588,-3.015746056178,-15.3086511614322,18.3243972176103,3,"object"
"V1438",-64.151,49.326,4.8114,-0.68805815580965,-16.3609755114301,17.0490336672397,3,"object"
"V1443",48.075,47.219,9.2624,0.245430099205386,-10.5138363541379,10.2684062549325,3,"object"
"V1449",47.874,51.447,9.867,6.3646892590855,-15.902731844397,9.5380425853114,3,"object"
"V1461",-50.727,61.746,7.1805,-10.1337489883053,-11.8858049809414,22.0195539692467,3,"object"
"V1467",-50.929,65.974,7.7847,0.428703484682997,11.9185037979147,-12.3472072825977,2,"place"
"V1470",-22.872,65.447,8.8978,-7.7591209029828,-12.6164039753424,20.3755248783252,3,"object"
"V1482",-51.332,74.43,8.9939,5.1547438046889,-0.158053157808884,-4.99669064688,1,"face"
"V1490",-48.026,78.592,9.7371,-5.063885935094,-10.0368651583448,15.1007510934388,3,"object"
"V1505",46.665,76.814,13.493,-4.1995174635001,-10.0043322758486,14.2038497393487,3,"object"
"V15831",-36.63,-15.42,0.40562,-10.4742741068396,0.527978181083053,9.9462959257565,2,"place"
"V1588",37.018,-16.803,3.3266,-11.1363559285768,-7.6071101416951,18.7434660702719,3,"object"
"V1656",-56.785,39.872,7.5651,5.9771267242924,-18.0243050302605,12.0471783059681,3,"object"
"V1672",47.822,50.581,13.55,-0.486244913189098,-10.0372897385364,10.5235346517255,3,"object"
"V1673",51.329,50.515,13.689,0.013444866840667,-7.9626418914604,7.9491970246197,3,"object"
"V1674",54.836,50.449,13.828,8.7453917747112,11.5127899958199,-20.2581817705312,1,"face"
"V1684",47.621,54.809,14.154,36.006133721588,-28.2870102101585,-7.7191235114294,1,"face"
"V1688",-43.765,60.748,11.142,-6.565785405404,-5.2937663126393,11.8595517180434,3,"object"
"V1689",43.912,59.103,14.62,7.0772168224204,8.1072002396809,-15.1844170621014,1,"face"
"V1694",-47.473,65.042,11.608,0.581642318183462,-8.3284213980504,7.746779079867,3,"object"
"V16951",-43.966,64.977,11.747,-4.4378258146956,-7.5706197264031,12.0084455410988,3,"object"
"V1697",-19.417,64.516,12.72,-8.2693359254592,-1.3766479137875,9.6459838392467,2,"place"
"V1698",43.71,63.331,15.223,-6.4985586078712,-5.3021705363127,11.800729144184,3,"object"
"V1699",47.217,63.265,15.363,-14.281113024256,15.675348347598,-1.3942353233419,2,"place"
"V1701",54.232,63.133,15.641,-7.1571983171783,-8.3544529805866,15.5116512977651,3,"object"
"V1702",-23.125,68.81,13.185,-4.3297980572851,-6.4632410116257,10.7930390689109,3,"object"
"V1705",8.4382,68.217,14.437,-0.835039462758123,19.0449048245811,-18.209865361823,1,"face"
"V1717",15.251,72.314,15.32,1.2856979696679,9.3360865528132,-10.6217845224811,2,"place"
"V1718",39.8,71.853,16.294,4.8921099096621,-1.5730337375331,-3.3190761721289,1,"face"
