...1,x,y,z,face,place,object,cluster,category
V353,-46.672,57.498,-16.374,5.20478912514317e-7,-0.00124374905798362,0.0012432285790711,2,object
V354,-39.12,57.625,-16.095,-3.186376713077e-4,-0.00111113474046432,0.00142977241177203,2,object
V356,-31.567,57.754,-15.818,-4.3255073982907e-4,-0.0019211299816568,0.00235368072148588,2,object
V357,-24.014,57.881,-15.539,-2.4024910323197e-4,-0.00236672102372781,0.00260697012695978,2,object
V358,32.632,58.839,-13.453,-0.00148727187972307,7.25476121290133e-5,0.00141472426759406,2,object
V360,-46.688,61.723,-15.889,-4.7693376281096e-4,0.00323921218279707,-0.0027622784199861,3,place
V361,-42.911,61.787,-15.75,-4.3339137678174e-4,-0.00199552983837602,0.0024289212151577602,2,object
V363,-31.582,61.979,-15.333,0.00147340498633905,-9.86816615658385e-5,-0.00137472332477321,1,face
V364,-27.806,62.042,-15.194,9.4974280631197e-4,-0.00199302573953839,0.00104328293322642,2,object
V365,-24.029,62.106,-15.055,-4.1911783526079e-4,8.5151318025607e-4,-4.3239534499527e-4,1,face
V368,-27.821,66.268,-14.71,-4.7668444659398e-4,0.00164188352661521,-0.00116519908002122,3,place
V371,-31.612,70.429,-14.365,-2.9480153150002e-4,0.0010419032705628,-7.4710173906277e-4,3,place
V372,-42.957,74.463,-14.297,-8.89313043915909e-5,6.6401176483163e-4,-5.7508046044004e-4,1,face
V373,-39.18,74.527,-14.158,2.64492743588616e-5,3.6797390692151e-4,-3.9442318128037e-4,1,face
V374,-35.419,78.816,-13.535,-6.87639262932722e-5,0.0015602755865224,-0.00149151166022913,3,place
V466,40.145,53.932,-9.886,-0.00178334069890248,0.00291147378888418,-0.0011281330899817,3,place
V467,43.921,53.996,-9.7467,-2.0638856523617e-4,-4.4518587770511e-4,6.5157444294128e-4,1,face
V470,-46.728,56.688,-12.601,1.1812587391178e-4,-0.00191135912220025,0.00179323324828846,2,object
V472,-31.622,56.943,-12.044,8.4398118966846e-4,0.00391417932874894,-0.00475816051841741,3,place
V473,21.248,57.837,-10.097,-6.849197996683e-4,-6.7745156045827e-4,0.00136237136012658,2,object
V474,25.024,57.902,-9.9585,5.7179712319615e-4,0.00315290251904415,-0.0037246996422403,3,place
V475,36.353,58.093,-9.5408,-3.4328528960657e-4,-2.3729509500582e-4,5.8058038461239e-4,1,face
V476,40.13,58.157,-9.4017,7.9893951686702e-4,0.00170826606906139,-0.00250720558592842,3,place
V478,-50.519,60.849,-12.255,-2.2717842121803e-4,-0.00118246854800161,0.00140964696921965,2,object
V479,-46.743,60.914,-12.117,0.0012189371972178,-4.1740423914465e-4,-8.0153295807314e-4,1,face
V480,-35.414,61.105,-11.699,-7.9225437757426e-4,0.00286198023638414,-0.00206972585880988,3,place
V481,-31.637,61.169,-11.56,6.1800437400729e-4,0.00119339600535113,-0.00181140037935842,3,place
V483,17.456,61.999,-9.7517,-1.3836579886586e-4,0.00333621538572998,-0.00319784958686412,3,place
V484,25.009,62.127,-9.4742,-7.4560892288264e-4,0.00168082560102691,-9.3521667814425e-4,3,place
V487,36.338,62.319,-9.0565,7.4496666117043e-4,6.9181641917243e-4,-0.00143678308034286,3,place
V491,-42.982,65.203,-11.493,-7.6773401327314e-4,2.7660059774623e-4,4.911334155269e-4,1,face
V493,-27.876,65.458,-10.936,3.25174077015776e-5,-9.7776356106259e-4,9.4524615336101e-4,2,object
V496,17.441,66.224,-9.2674,-4.9749517757281e-4,-7.1426038148689e-4,0.00121175555905972,2,object
V497,21.217,66.288,-9.128,-1.2819094644906e-4,-7.9792203284793e-4,9.26112979297e-4,2,object
V498,28.77,66.416,-8.8505,-3.1453358106715e-4,-4.0869085003565e-4,7.232244311028e-4,1,face
V500,36.323,66.544,-8.5722,-2.7336958782949e-4,-9.4683667223767e-4,0.00122020626006717,2,object
V501,-42.997,69.428,-11.009,7.2974098977229e-4,-2.1410621516029e-4,-5.1563477461199e-4,1,face
V502,-39.22,69.491,-10.87,-6.3460997879102e-4,0.00109225107429944,-4.5764109550842e-4,1,face
V503,-31.667,69.62,-10.591,0.00110767577655717,4.77699058724607e-5,-0.00115544568242963,1,face
V509,13.649,70.386,-8.9221,6.1830928742941e-4,-3.1759462458346e-4,-3.0071466284594e-4,1,face
V511,21.202,70.514,-8.6446,9.9588554939047e-4,-0.00130096732053375,3.0508177114327e-4,1,face
V512,28.755,70.641,-8.3663,-7.4900032247736e-4,4.1175814622273e-4,3.3724217625463e-4,1,face
V517,-43.012,73.653,-10.524,-2.860769032274e-4,7.4397707250154e-4,-4.5790016927413e-4,1,face
V518,-35.459,73.781,-10.246,-4.0540083025021e-4,2.5621747910741e-4,1.491833511428e-4,1,face
V519,-24.13,73.973,-9.8291,0.00107252284453776,-4.49568310452145e-6,-0.00106802716143324,1,face
V527,-43.027,77.878,-10.04,8.1309043199951e-4,-1.0596276987868e-4,-7.0712766212082e-4,1,face
V528,-39.251,77.943,-9.9007,9.0393241937006e-4,-3.6908622228222e-4,-5.3484619708783e-4,1,face
V529,-35.474,78.006,-9.7616,-2.8532697376818e-4,-0.00148927421927178,0.00177460119303996,2,object
V531,-24.145,78.198,-9.3448,2.6012283569268e-4,-0.00167220112284341,0.00141207828715072,2,object
V533,-12.816,78.39,-8.9271,1.3415391372511e-4,-0.00323043866057156,0.00309628474684644,2,object
V538,36.277,79.22,-7.1189,-1.5396739572012e-4,4.9071375207756e-4,-3.3674635635743e-4,1,face
V545,-31.728,86.52,-8.6537,7.4441387479508e-4,-0.00163024685133841,8.8583297654332e-4,2,object
V549,-38.942,-24.276,-17.752,9.6161802626601e-4,-8.0770459937937e-4,-1.5391342688663e-4,1,face
V554,-42.734,-20.115,-17.407,-1.4323018529026e-4,6.3370341701895e-4,-4.9047323172868e-4,1,face
V624,43.881,48.961,-6.4585,-0.00119683670739219,-0.00124352892724219,0.00244036563463438,2,object
V631,47.642,53.25,-5.8349,0.00104820768909855,1.7997363455653e-4,-0.00122818132365508,1,face
V635,-27.901,56.197,-8.1323,8.4431978421159e-4,0.001843025288994,-0.0026873450732056,3,place
V638,13.64,56.901,-6.6025,-9.27866402950993e-5,0.00124830495872001,-0.00115551831842491,3,place
V649,-43.022,60.167,-8.2038,-3.0813722849212e-4,0.00146028615007846,-0.00115214892158634,3,place
V653,13.624,61.126,-6.1182,-2.03293140735811e-5,-9.6599463155594e-4,9.8632394562952e-4,2,object
V654,21.177,61.253,-5.8399,7.0946816324155e-4,-6.7923460065947e-4,-3.02335625820796e-5,1,face
V655,24.954,61.318,-5.7005,4.8182821607461e-4,-1.9529160451472e-4,-2.8653661155988e-4,1,face
