"x","y","z","subject"
-34.919,50.843,-22.196,4
14.79,52.578,-21.59,4
18.614,52.712,-21.543,4
22.438,52.845,-21.497,4
33.909,53.246,-21.357,4
41.557,53.513,-21.264,4
45.381,53.647,-21.217,4
-46.872,54.223,-22.419,4
-43.048,54.357,-22.373,4
-39.224,54.49,-22.326,4
-35.401,54.624,-22.28,4
-31.577,54.757,-22.233,4
-27.753,54.891,-22.186,4
-23.929,55.024,-22.14,4
14.308,56.36,-21.673,4
18.132,56.493,-21.627,4
21.956,56.627,-21.58,4
25.78,56.76,-21.533,4
29.603,56.894,-21.487,4
33.427,57.027,-21.44,4
37.251,57.161,-21.394,4
44.898,57.428,-21.3,4
48.722,57.561,-21.254,4
-39.707,58.272,-22.409,4
-35.883,58.405,-22.363,4
-32.059,58.539,-22.316,4
-28.235,58.672,-22.27,4
-20.588,58.939,-22.176,4
-16.764,59.073,-22.13,4
-12.94,59.206,-22.083,4
-9.1164,59.34,-22.036,4
10.002,60.007,-21.803,4
13.826,60.141,-21.757,4
17.65,60.274,-21.71,4
21.474,60.408,-21.663,4
25.298,60.541,-21.617,4
29.121,60.675,-21.57,4
32.945,60.809,-21.523,4
44.416,61.209,-21.384,4
48.24,61.343,-21.337,4
-40.189,62.053,-22.493,4
-36.365,62.186,-22.446,4
-32.541,62.32,-22.399,4
-28.717,62.453,-22.353,4
-24.894,62.587,-22.306,4
-21.07,62.72,-22.26,4
-9.5985,63.121,-22.12,4
-5.7747,63.255,-22.073,4
1.8728,63.522,-21.98,4
5.6966,63.655,-21.933,4
9.5203,63.789,-21.886,4
13.344,63.922,-21.84,4
17.168,64.056,-21.793,4
24.815,64.323,-21.7,4
28.639,64.456,-21.653,4
43.934,64.99,-21.467,4
-36.847,65.968,-22.529,4
-29.199,66.235,-22.436,4
-25.376,66.368,-22.389,4
-21.552,66.502,-22.343,4
-17.728,66.635,-22.296,4
-13.904,66.769,-22.25,4
-10.081,66.902,-22.203,4
-2.433,67.169,-22.11,4
1.3907,67.303,-22.063,4
5.2145,67.436,-22.016,4
9.0383,67.57,-21.97,4
12.862,67.703,-21.923,4
16.686,67.837,-21.876,4
28.157,68.238,-21.737,4
-22.034,70.283,-22.426,4
-14.386,70.55,-22.333,4
-6.7389,70.817,-22.24,4
-2.9151,70.951,-22.193,4
0.90864,71.084,-22.146,4
4.7324,71.218,-22.1,4
8.5562,71.351,-22.053,4
0.14195,-42.933,-15.791,4
3.9657,-42.8,-15.744,4
11.613,-42.533,-15.651,4
-0.34013,-39.152,-15.874,4
3.4836,-39.019,-15.827,4
11.131,-38.751,-15.734,4
-0.82222,-35.371,-15.957,4
10.649,-34.97,-15.817,4
2.5195,-31.456,-15.994,4
10.167,-31.189,-15.901,4
-40.024,-29.143,-16.59,4
-36.2,-29.01,-16.543,4
2.0374,-27.675,-16.077,4
9.6849,-27.408,-15.984,4
-40.506,-25.362,-16.673,4
-36.682,-25.229,-16.627,4
-32.859,-25.095,-16.58,4
-2.2685,-24.027,-16.207,4
1.5553,-23.893,-16.16,4
9.2028,-23.626,-16.067,4
-44.812,-21.714,-16.803,4
-37.164,-21.447,-16.71,4
-14.222,-20.646,-16.43,4
-10.398,-20.513,-16.383,4
1.0732,-20.112,-16.244,4
8.7208,-19.845,-16.15,4
20.192,-19.444,-16.01,4
24.016,-19.311,-15.964,4
39.311,-18.777,-15.777,4
-49.118,-18.067,-16.933,4
-37.647,-17.666,-16.793,4
-29.999,-17.399,-16.7,4
-26.175,-17.265,-16.653,4
-22.351,-17.132,-16.607,4
12.062,-15.93,-16.187,4
19.71,-15.663,-16.094,4
46.476,-14.729,-15.767,4
-49.6,-14.285,-17.016,4
-41.952,-14.018,-16.923,4
-38.129,-13.885,-16.876,4
-11.362,-12.95,-16.55,4
0.10904,-12.55,-16.41,4
15.404,-12.015,-16.224,4
49.818,-10.814,-15.804,4
53.642,-10.68,-15.757,4
-53.906,-10.638,-17.146,4
-50.082,-10.504,-17.099,4
-46.258,-10.371,-17.053,4
-42.435,-10.237,-17.006,4
14.922,-8.2342,-16.307,4
37.865,-7.433,-16.027,4
45.512,-7.166,-15.934,4
49.336,-7.0325,-15.887,4
53.16,-6.899,-15.841,4
-58.212,-6.9898,-17.276,4
-54.388,-6.8563,-17.229,4
-50.564,-6.7228,-17.183,4
-46.74,-6.5893,-17.136,4
10.616,-4.5864,-16.437,4
22.087,-4.1859,-16.297,4
41.206,-3.5182,-16.064,4
48.854,-3.2512,-15.97,4
52.678,-3.1177,-15.924,4
-58.694,-3.2086,-17.359,4
-54.87,-3.075,-17.313,4
-47.222,-2.808,-17.219,4
-5.161,-1.3392,-16.706,4
-1.3372,-1.2057,-16.66,4
10.134,-0.80515,-16.52,4
17.782,-0.5381,-16.427,4
21.605,-0.40458,-16.38,4
25.429,-0.27106,-16.333,4
44.548,0.39655,-16.1,4
56.019,0.79712,-15.96,4
-59.176,0.57273,-17.442,4
-55.352,0.70625,-17.396,4
-51.528,0.83977,-17.349,4
-1.8193,2.5756,-16.743,4
2.0045,2.7091,-16.696,4
5.8282,2.8426,-16.65,4
51.713,4.4449,-16.09,4
-63.482,4.2205,-17.572,4
-59.658,4.354,-17.526,4
-55.834,4.4875,-17.479,4
-52.01,4.6211,-17.432,4
5.3462,6.6239,-16.733,4
47.408,8.0926,-16.22,4
51.231,8.2262,-16.174,4
55.055,8.3597,-16.127,4
58.879,8.4932,-16.08,4
-63.964,8.0018,-17.656,4
-60.14,8.1353,-17.609,4
-56.316,8.2688,-17.562,4
50.749,12.007,-16.257,4
58.397,12.274,-16.163,4
-64.446,11.783,-17.739,4
-56.798,12.05,-17.646,4
-52.975,12.184,-17.599,4
46.443,15.655,-16.387,4
50.267,15.789,-16.34,4
54.091,15.922,-16.293,4
57.915,16.056,-16.247,4
-64.928,15.564,-17.822,4
-57.28,15.831,-17.729,4
-53.457,15.965,-17.682,4
-49.633,16.098,-17.636,4
53.609,19.704,-16.377,4
-65.41,19.346,-17.905,4
-61.586,19.479,-17.859,4
-57.763,19.613,-17.812,4
-53.939,19.746,-17.765,4
53.127,23.485,-16.46,4
56.951,23.618,-16.413,4
60.774,23.752,-16.367,4
-62.068,23.26,-17.942,4
52.645,27.266,-16.543,4
56.469,27.4,-16.496,4
60.292,27.533,-16.45,4
-66.374,26.908,-18.072,4
52.163,31.047,-16.626,4
55.986,31.181,-16.58,4
59.81,31.314,-16.533,4
-63.033,30.823,-18.108,4
-59.209,30.956,-18.062,4
-55.385,31.09,-18.015,4
-43.914,31.491,-17.875,4
51.681,34.829,-16.71,4
55.504,34.962,-16.663,4
-59.691,34.738,-18.145,4
-55.867,34.871,-18.098,4
-25.277,35.939,-17.725,4
47.375,38.476,-16.84,4
51.198,38.61,-16.793,4
55.022,38.743,-16.746,4
-56.349,38.653,-18.182,4
-44.878,39.053,-18.042,4
-21.935,39.854,-17.762,4
46.893,42.258,-16.923,4
50.716,42.391,-16.876,4
54.54,42.525,-16.829,4
-60.655,42.3,-18.312,4
-45.36,42.834,-18.125,4
