"","x","y","z","face","place","object"
"V2980",-30.338,-40.626,20.154,0.000691115431858133,0.000121025653242735,-0.000812141085100867
"V2991",-38.467,-37.111,19.978,0.000482225332721021,3.87437117011056e-08,-0.000482264076432722
"V2992",-34.644,-36.978,20.025,0.000644237819052185,-0.000110542544356176,-0.000533695274696009
"V3001",45.174,-30.393,20.92,-0.00032290196560848,0.00038142090514486,-5.851893953638e-05
"V3006",44.691,-26.611,20.837,0.00119893706306079,-0.000732329232589899,-0.000466607830470891
"V3022",-40.878,-18.205,19.562,0.000149161910067079,-0.000828056832983556,0.000678894922916477
"V3065",55.615,38.338,19.655,-0.000586248951369412,0.00044974045621551,0.000136508495153902
"V3067",51.309,41.986,19.525,-5.73181683550864e-05,-0.000544668164359292,0.000601986332714378
"V3068",55.133,42.119,19.572,0.000124778294183188,-0.000423888886407857,0.000299110592224669
"V3117",-32.847,69.432,17.88,0.000564632616423298,-0.000534333238917118,-3.02993775061798e-05
"V3127",-37.153,73.08,17.75,-2.52791108003794e-05,-0.000143625238261,0.000168904349061379
"V3128",-33.329,73.213,17.797,-0.000753184705242824,4.44853550146472e-05,0.000708699350228177
"V3137",-33.811,76.995,17.714,-0.000789392689604517,0.000852613056148654,-6.32203665441375e-05
"V3145",15.898,78.73,18.32,-1.2826652442058e-05,-0.000261731862251912,0.00027455851469397
"V3148",35.017,79.398,18.553,-0.000297981740205282,0.000797361128675488,-0.000499379388470206
"V3150",-34.293,80.776,17.63,-2.4232331922159e-05,0.000940053152695945,-0.000915820820773787
"V3160",19.24,82.645,18.283,-0.000598787828743334,-0.000259706053089999,0.000858493881833333
"V3162",-34.775,84.557,17.547,-0.000578319889242063,0.00114804923590765,-0.000569729346665585
"V3168",14.934,86.293,18.153,0.000847164952179435,0.00014286954435711,-0.000990034496536545
"V3190",1.7646,-50.946,24.822,-0.000218975463789014,-0.00107052476647279,0.0012895002302618
"V3192",20.883,-50.279,25.055,9.14071551477996e-05,-0.000660457606897936,0.000569050451750136
"V3193",24.707,-50.145,25.102,-3.37289569557938e-05,0.00116895144552057,-0.00113522248856478
"V3201",-14.013,-47.699,24.552,-0.000135882335581995,-0.000604968002849494,0.000740850338431489
"V3202",1.2825,-47.165,24.739,0.000412562227200872,-0.000111298936011409,-0.000301263291189463
"V3203",5.1062,-47.031,24.785,0.000918453271837301,-0.000201474235604067,-0.000716979036233234
"V3223",38.556,-38.267,25.038,-0.000387609183618713,-0.000119696616720814,0.000507305800339526
"V3254",44.275,-22.875,24.799,0.000341908113674707,-0.000389682118328476,4.7774004653769e-05
"V3257",43.793,-19.094,24.715,-0.000101784769474573,-0.000255764785950809,0.000357549555425382
"V3258",47.617,-18.96,24.762,6.84482922881223e-05,-0.00081953460597742,0.000751086313689297
"V3259",51.441,-18.827,24.809,-0.000886408229121857,0.000379097335173117,0.000507310893948739
"V3260",55.264,-18.693,24.855,-0.000659912740771489,0.000364845301667753,0.000295067439103736
"V3267",50.959,-15.045,24.725,6.08639299927778e-05,-0.00121033184933292,0.00114946791934014
"V3276",-45.6,-10.821,23.393,-0.0006110268620759,0.000256993355612094,0.000354033506463807
"V3286",45.206,-0.053846,24.346,-0.000394567267104675,-0.000255931987565833,0.000650499254670508
"V3308",-53.762,23.077,22.597,-0.000840067614169451,-6.40286831351228e-05,0.000904096297304574
"V3312",52.821,30.597,23.82,-0.000775515592496691,-0.000407073367428796,0.00118258895992549
"V3316",51.857,38.16,23.653,-0.000492111836011335,0.00100047986888304,-0.0005083680328717
"V3317",55.681,38.293,23.7,-0.000267665602488246,-0.00109000686317681,0.00135767246566505
"V3323",47.551,41.807,23.523,0.000861943751772397,5.6257454586992e-06,-0.000867569497231096
"V3325",50.893,45.722,23.487,0.000386464556181616,-0.00130589588595471,0.000919431329773091
"V3326",54.717,45.856,23.533,0.000653019403735447,-0.000419249651086787,-0.00023376975264866
"V3331",54.234,49.637,23.45,0.000834567034642062,-0.000419880619226413,-0.00041468641541565
"V3334",-7.428,51.282,22.621,0.000517644420678923,0.000151255223017723,-0.000668899643696646
"V3337",-7.91,55.063,22.537,0.000341345366479413,0.00040711924724656,-0.000748464613725973
"V3342",-46.63,57.509,21.988,-0.000642079780178254,0.000183760187771032,0.000458319592407222
"V3343",-42.806,57.643,22.034,0.000174991345483526,0.00021997426072115,-0.000394965606204675
"V3353",-8.8742,62.626,22.371,-0.000251364811260894,0.000747691199763577,-0.000496326388502683
"V3367",-32.781,69.387,21.925,-0.000328323473420153,0.000472912083957922,-0.000144588610537768
"V3372",36.047,71.79,22.764,0.000407541263245543,-0.000128583520332147,-0.000278957742913396
"V3377",-37.087,73.035,21.795,0.000312818438721784,-0.000569597058517668,0.000256778619795883
"V3378",-33.263,73.168,21.841,-0.000819525204895407,0.000582182974698753,0.000237342230196654
"V3379",-29.439,73.302,21.888,-0.0005604042107105,0.00107301566606852,-0.000512611455358017
"V3390",-37.569,76.816,21.711,-0.000245574133007048,0.00087352278813423,-0.000627948655127182
