voxel,face,place,object,x,y,z,subject,class,cluster
2442,-9.382595702305084e-5,-1.1371413453126615e-4,2.0754009155431698e-4,-26.685,81.629,9.8674,8,object,3
2539,3.092511520306886e-5,-8.640813651318874e-5,5.548302131011988e-5,-42.787,-28.469,10.14,8,object,3
2545,4.676914099412822e-5,-7.467598867195275e-5,2.7906847677824523e-5,-42.969,-24.719,10.298,8,object,3
2615,2.5941171204603224e-4,-1.1023441646277423e-4,-1.4917729558325805e-4,-53.277,38.71,13.302,8,face,1
2616,2.1950411041988786e-4,-1.507101413676505e-4,-6.87939690522374e-5,-49.672,38.87,13.139,8,face,1
2619,-9.202451161241512e-5,-5.199791200260779e-5,1.440224236150229e-4,54.863,43.494,8.4191,8,object,3
2621,1.5043144590012755e-4,-8.419317952165976e-5,-6.62382663784678e-5,-57.064,42.3,13.622,8,face,1
2622,1.693074080249294e-4,-8.450007614589373e-5,-8.480733187903569e-5,-53.459,42.461,13.46,8,face,1
2631,1.2519426957641907e-4,-2.4853062429925945e-5,-1.0034120714649311e-4,-53.823,49.96,13.775,8,face,1
2632,1.399184556917698e-4,-7.009864743187954e-5,-6.981980825989025e-5,-50.219,50.12,13.612,8,face,1
2633,1.4490074045079519e-4,-7.28182381355765e-5,-7.208250231521865e-5,-46.614,50.279,13.449,8,face,1
2640,1.305463523377698e-4,-7.14216867975051e-5,-5.9124665540264676e-5,-50.401,53.869,13.77,8,face,1
2641,-1.8564000987934215e-5,-1.2783985598924214e-4,1.4640385697717637e-4,46.925,58.174,9.3748,8,object,3
2642,5.192582487824434e-5,-1.6749039395354804e-4,1.1556456907530369e-4,50.529,58.334,9.2121,8,object,3
2648,1.838155742407108e-4,-2.2382168606424283e-5,-1.6143340563428652e-4,-39.769,58.097,13.439,8,face,1
2649,5.861889504526347e-5,-1.8601611736871843e-4,1.2739722232345496e-4,50.347,62.084,9.3697,8,object,3
2650,-6.860965919525241e-5,-5.2031599761764243e-5,1.2064125895701666e-4,53.952,62.243,9.2069,8,object,3
2655,1.9057475174630393e-4,-2.6260359293254985e-5,-1.6431439245304894e-4,-43.556,61.688,13.759,8,face,1
2656,2.0076575090759573e-4,9.728517432798415e-6,-2.1049426834039413e-4,-39.952,61.847,13.596,8,face,1
2657,-6.403583972951625e-5,7.22410125223481e-5,-8.205172792831857e-6,-14.719,62.964,12.457,8,place,2
2659,-1.5488477794255265e-4,1.6698339982315331e-4,-1.2098621880600643e-5,14.118,64.239,11.155,8,place,2
2674,-1.3304513596600043e-4,1.0986879323551773e-4,2.3176342730482703e-5,13.936,67.989,11.312,8,place,2
2681,-1.3240967070728601e-4,5.443217199429642e-5,7.79774987129896e-5,-40.316,69.347,13.912,8,place,2
2689,-1.0553005815112376e-4,7.935486487263839e-5,2.617519327848537e-5,13.754,71.738,11.47,8,place,2
2690,3.333611136093443e-6,-1.5454167199887862e-4,1.512080608627852e-4,28.172,72.376,10.819,8,object,3
2694,-1.8538770372516533e-05,-9.13789145212462e-5,1.0991768489376273e-4,49.8,73.333,9.8424,8,object,3
2696,-1.447895231304136e-4,3.234855934904776e-6,1.4155466719550884e-4,-40.498,73.097,14.069,8,object,3
2697,-1.7215349044462868e-4,6.442036297835196e-5,1.0773312746627672e-4,-36.894,73.256,13.906,8,place,2
2698,-1.172315113888793e-4,8.462933710993588e-5,3.260217427894341e-5,-33.289,73.416,13.744,8,place,2
2711,-1.0286320542623281e-4,7.43731929571741e-5,2.8490012469058728e-5,-33.471,77.166,13.901,8,place,2
2726,-8.058134259899443e-5,7.032857592081079e-5,1.0252766678183646e-5,-33.653,80.915,14.059,8,place,2
2746,-2.1262614442485143e-5,1.778380700725275e-4,-1.5657545563004235e-4,23.839,87.216,11.612,8,place,2
2754,-5.731141306178513e-5,1.4366157178791203e-4,-8.635015872612691e-5,-23.065,-58.064,11.931,8,place,2
2763,1.2569535928205855e-4,-1.7817017232422627e-4,5.24748130421677e-5,12.982,-56.47,10.304,8,object,3
