voxel,x,y,z,face,place,object,cluster,category
V2333,-57.487,46.445,9.9142,-5.665942142088e-4,4.9435482776035e-4,7.22393864484522e-5,3,place
V2335,-46.673,46.922,9.4258,-6.1759265392814e-4,6.9289556680101e-4,-7.53029128728699e-5,3,place
V2342,-54.065,50.353,9.9089,-2.3050887639057e-4,-4.0189458134754e-4,6.3240345773811e-4,1,object
V2343,-50.46,50.513,9.7461,-2.0111608912857e-4,2.7491659666961e-4,-7.38005075410438e-5,3,place
V2347,-57.852,53.944,10.229,-5.0312936607348e-4,5.671936552632e-4,-6.4064289189714e-5,3,place
V2348,-54.247,54.104,10.067,-1.5343771531127e-4,4.6398717414424e-4,-3.1054945883297e-4,3,place
V2350,-7.3865,56.177,7.9506,-2.7176759220908e-4,-4.7709594441254e-4,7.4886353662163e-4,1,object
V2356,-58.034,57.694,10.387,2.0317602268141e-4,3.4461164371897e-4,-5.4778766640039e-4,3,place
V2359,-43.615,58.332,9.7358,-4.8193026542874e-4,-8.2702976235208e-4,0.00130896002778083,1,object
V2368,-43.798,62.082,9.8934,3.241208290221e-4,-1.3652141314061e-4,-1.8759941588149e-4,2,face
V2369,-40.193,62.241,9.7306,3.1855132050832e-4,-3.98278535617097e-5,-2.7872346694661e-4,2,face
V2378,-40.375,65.99,9.8881,3.2837280170589e-4,-1.4657902216067e-4,-1.8179377954522e-4,2,face
V2387,13.695,68.383,7.4466,8.6487503186129e-4,-2.6213812875654e-4,-6.0273690310474e-4,2,face
V2411,-44.344,73.331,10.366,4.8321881636054e-4,5.0407188946813e-4,-9.8729070582868e-4,2,face
V2412,-40.74,73.491,10.203,0.00122831821849216,-7.4069948444347e-4,-4.8761873404867e-4,2,face
V2424,-37.317,77.4,10.198,5.6230484508887e-4,8.08795615550177e-5,-6.4318440664388e-4,2,face
V2427,-26.503,77.878,9.7098,1.5559447347992e-4,-0.00109214533817478,9.3655086469485e-4,1,object
V2428,-22.899,78.038,9.5471,6.1191757957434e-4,-0.00100012198112464,3.8820440155029e-4,2,face
V2436,13.148,79.632,7.9194,-7.1710699042342e-4,9.3270884266572e-4,-2.156018522423e-4,3,place
V2442,-26.685,81.629,9.8674,-2.5274967544475e-4,-7.0743393561023e-4,9.6018361105498e-4,1,object
V2615,-53.277,38.71,13.302,-4.8183127601545e-4,9.8451287330197e-4,-5.0268159728651e-4,3,place
V2616,-49.672,38.87,13.139,1.0986123343185e-4,-0.00121311332837135,0.0011032520949395,1,object
V2621,-57.064,42.3,13.622,3.0119630868025e-4,-0.00116440583189723,8.6320952321697e-4,1,object
V2631,-53.823,49.96,13.775,-2.7905852233201e-4,-6.6965293335761e-4,9.4871145568963e-4,1,object
V2632,-50.219,50.12,13.612,-2.6416384357224e-4,5.6855637580198e-4,-3.0439253222974e-4,3,place
V2640,-50.401,53.869,13.77,-5.4977331483762e-4,8.4452354558056e-4,-2.9475023074293e-4,3,place
V2641,46.925,58.174,9.3748,-1.3358828105104e-4,-6.5541532809033e-4,7.8900360914138e-4,1,object
V2642,50.529,58.334,9.2121,3.6295932447953e-4,-9.2492612306218e-4,5.6196679858264e-4,2,face
V2648,-39.769,58.097,13.439,-5.7152755790785e-4,3.4776293616602e-5,5.3675126429125e-4,1,object
V2649,50.347,62.084,9.3697,-3.4457873897079e-4,-2.7702870708298e-4,6.2160744605378e-4,1,object
V2656,-39.952,61.847,13.596,5.8636809335075e-4,-3.3950607686497e-4,-2.4686201648578e-4,2,face
V2659,14.118,64.239,11.155,2.205551423044e-4,-7.136259567919e-4,4.930708144875e-4,2,face
V2674,13.936,67.989,11.312,-3.5693690567147e-4,-8.09834558651174e-5,4.3792036153659e-4,1,object
V2689,13.754,71.738,11.47,-5.7883582674165e-4,5.2411174188084e-4,5.47240848608046e-5,3,place
V2690,28.172,72.376,10.819,-5.7679503666325e-4,-8.54194039319504e-5,6.622144405952e-4,1,object
V2694,49.8,73.333,9.8424,-1.4558284847466e-4,-5.3231261540726e-4,6.7789546388192e-4,1,object
V2697,-36.894,73.256,13.906,9.2439083468118e-6,0.00115093931348484,-0.00116018322183165,3,place
V2711,-33.471,77.166,13.901,-6.4434944990566e-4,-4.6665687368092e-4,0.00111100632358659,1,object
V2746,23.839,87.216,11.612,-2.1329860912427e-4,-4.1775082756339e-4,6.3104943668767e-4,1,object
V2754,-23.065,-58.064,11.931,-7.8112092032543e-4,5.3192596373713e-4,2.4919495658829e-4,3,place
V2775,12.8,-52.72,10.462,-0.0010020455412204,7.9610726169596e-4,2.0593827952443e-4,3,place
V2844,-39.488,-17.454,14.315,4.0017214898358e-4,1.4402562420018e-4,-5.4419777318376e-4,2,face
V2922,47.713,46.531,12.768,5.8219177575987e-4,-5.7914744563344e-4,-3.04433012642275e-6,2,face
V2933,-53.582,49.566,17.64,9.9933456078944e-4,-6.48689472442092e-5,-9.3446561354523e-4,2,face
V2934,-49.977,49.726,17.478,6.4764249801129e-4,5.86156821317957e-6,-6.5350406622447e-4,2,face
