...1,x,y,z,face,place,object,cluster,category
V3903,-17.081,68.113,35.482,-4.2219335613042e-4,-0.00120197347625254,0.00162416683238296,3,object
V3905,1.6787,68.646,36.768,6.828226933071e-4,4.4621067727704e-4,-0.00112903337058414,1,face
V3907,16.687,69.073,37.797,0.00111060007052925,-0.00105249166009722,-5.81084104320253e-5,1,face
V3920,20.219,76.437,39.125,7.8676412961821e-4,-3.6362581219441e-4,-4.231383174238e-4,1,face
V3948,-21.214,-45.588,21.787,4.5224845318533e-4,6.4209983086407e-4,-0.00109434828404941,1,face
V4067,-4.6503,27.516,33.769,0.00101624949286148,3.5027652540271e-4,-0.0013665260182642,1,face
V4106,28.569,46.62,38.759,6.1570191338655e-4,2.529522861211e-4,-8.6865419950765e-4,1,face
V4249,-52.252,-14.787,27.94,-3.09980138689285e-5,0.00126409048264841,-0.00123309246877948,1,face
V4367,-9.0944,48.18,40.118,-5.8707318125655e-4,-4.9075751000253e-4,0.00107783069125908,3,object
V4702,23.162,-29.17,37.743,-4.3691397247319e-4,-0.00100948391971233,0.00144639789218553,3,object
V4742,-26.163,-12.415,37.072,-4.9101119096338e-4,-6.9345083402317e-4,0.00118446202498656,3,object
V4768,37.292,0.2858,43.05,8.093915593905e-4,3.8615530838232e-4,-0.00119554686777283,1,face
V4927,4.6985,-41.591,38.25,-5.9634058661658e-4,-0.00124253613410262,0.00183887672071921,3,object
V4945,23.129,-30.172,41.141,-7.383930354797e-4,0.00139306175877512,-6.5466872329541e-4,2,place
V4946,26.881,-30.066,41.398,-0.00100605355841705,-4.1457682480953e-4,0.00142063038322658,3,object
V5000,41.23,-7.8668,45.636,6.6551981994369e-4,1.1519047644444e-4,-7.8071029638813e-4,1,face
V5012,33.507,-0.82305,46.191,9.3196645888561e-4,1.2462394174687e-4,-0.00105659040063249,1,face
V5018,-4.1235,1.7384,44.153,5.3951982090881e-4,-1.6614152919463e-4,-3.7337829171418e-4,1,face
V5028,-0.48133,5.4737,44.945,4.2309053017379e-4,-0.00124345239849564,8.2036186832184e-4,3,object
V5074,-38.551,22.549,45.045,2.7338974452365e-4,-0.0011936015245805,9.2021178005684e-4,3,object
V5078,28.986,24.47,49.676,4.4674376767424e-4,-1.56053095564088e-5,-4.3113845811783e-4,1,face
V5222,-37.595,-11.109,43.63,-5.7470554581959e-4,0.00110749671421103,-5.3279116839142e-4,2,place
V5232,33.693,-9.0819,48.519,0.00204158757846808,-0.00173904135139669,-3.0254622707139e-4,1,face
V5254,40.978,-1.6111,50.104,-6.5427915385248e-4,0.00103415363304894,-3.7987447919646e-4,2,place
V5469,-37.848,-4.8539,48.098,5.0233332787253e-4,4.5570614824207e-4,-9.580394761146e-4,1,face
V5549,13.802,25.669,55.979,-2.0535632095249e-4,3.1319527931036e-4,-1.0783895835787e-4,2,place
V5578,-24.048,35.487,55.009,3.5159344151495e-4,-1.3494611581217e-4,-2.1664732570278e-4,1,face
V5603,20.647,47.654,59.701,-5.0258773473847e-4,0.00207495662143587,-0.00157236888669739,2,place
V5623,-7.2059,-26.773,50.346,-9.4523030776088e-4,9.9536618131827e-4,-5.01358735573859e-5,2,place
V5631,-11.287,-15.994,51.693,-6.1853752313251e-4,0.00103206032720984,-4.1352280407732e-4,2,place
V5638,-7.6453,-12.259,52.485,-8.0643862244339e-4,8.3689174766466e-4,-3.0453125221271e-5,2,place
V5704,-16.028,16.556,56.248,7.1917742549386e-4,-2.956016376434e-4,-4.2357578785046e-4,1,face
V5715,25.135,21.359,59.614,-7.1456555469038e-4,7.1571362918071e-4,-1.14807449033311e-6,2,place
V5745,17.301,32.031,60.703,1.5186708375157e-4,8.9123998336449e-4,-0.00104310706711607,1,face
V5770,7.4396,-16.462,56.377,6.2680788940611e-4,-6.54977506287017e-6,-6.2025811434324e-4,1,face
